Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Building Permit Number,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Bedrooms to be determined,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2023-016,(3) Design with Entitlements Approved,395 3rd St,395,3rd,St,94107,3750,86,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,06/27/2025,,,,,2021-003762PRJ,2021-003762PRJ (http://propertymap.sfplanning.org/?search=2021-003762PRJ),,06/29/2023,On-site BMR Project; Fee Payment,,524,84,440,16,0,15,48,21,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,17,0,0,0,18,0,0,0,0,37.78307,-122.39715,"(37.78307, -122.39715)"
2016-094,(1) Preliminary Phase,Mission Bay South Block 12 West,,,,94158,8710,6,6,Mission Bay,South of Market,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,,,,,,,,,,Not Applicable,,,,,,145,144,1,99,0,0,0,0,0,0,0,144,0,1,0,144,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,37.77104569,-122.3951074,"(37.77104569, -122.3951074)"
2020-038,(3) Design with Entitlements Approved,5500 Mission,5500,Mission,St,94112,7066,36,11,Outer Mission,Outer Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,,,,2018-012065PRJ,2018-012065PRJ (http://propertymap.sfplanning.org/?search=2018-012065PRJ),,,Exempt Project,201612286112,17,0,17,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7127357,-122.4452015,"(37.7127357, -122.4452015)"
2018-034,(3) Design with Entitlements Approved,650 Divisadero,,,,94117,,,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,07/01/2023,,,11/27/2020,,"Divco Group, LLC",,,2013.1037,2013.1037 (http://propertymap.sfplanning.org/?search=2013.1037),,,,,66,9,57,14,0,2,2,3,2,0,0,,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,37.7757868,-122.4375671,"(37.7757868, -122.4375671)"
2015-028,(5) First Construction Document Issued,The Oak,1546-1564,Market,St,94102,836,6,6,Hayes Valley,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,11/02/2016,,06/12/2017,,TUP Market LLC/Trumark Urban,,,2012.0877,2012.0877 (http://propertymap.sfplanning.org/?search=2012.0877),,06/25/2015,On-site BMR Project,201311222657,109,13,96,12,0,1,9,3,0,0,0,,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,37.7750848,-122.4200908,"(37.7750848, -122.4200908)"
2019-006,(5) First Construction Document Issued,915 North Point St,915,North Point,St,94109,453,2,2,Russian Hill,Russian Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,05/19/2023,06/02/2023,04/30/2021,,"Jamestown Premier GHRSQ, LP",,,2017-000280PRJ,2017-000280PRJ (http://propertymap.sfplanning.org/?search=2017-000280PRJ),,,Fee Payment,201912200210,37,0,37,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8052826,-122.422484,"(37.8052826, -122.422484)"
2023-005,(2) Predevelopment Feasibility,629 Post,629,Post,St,94102,305,32,3,Tenderloin,Downtown/Civic Center,MOHCD,Big Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,06/06/2023,,,,,,Swords to Plowshares,,,,  (http://propertymap.sfplanning.org/?search=),,,,,62,62,0,100,62,0,0,0,0,0,0,,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7881,-122.40995,"(37.7881, -122.40995)"
2018-021,(7) On-Hold / Planning Approval Expired,Moscone Garage (Land Dedication Site),255,3rd,St,94103,3735,60,6,Financial District/South Beach,Financial District,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,,,,Not Yet Available,,,,,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7847368,-122.3993836,"(37.7847368, -122.3993836)"
2014-020,(4) Site Work Permit Issued,325 Fremont,325,Fremont,St,94105,3747,12,6,Financial District/South Beach,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,,,09/19/2017,,Fremont 325 Development LLC,,,2012.1025,2012.1025 (http://propertymap.sfplanning.org/?search=2012.1025),"2012.1025E,2012.1025E_3,2012.1025GPR,2012.1025LLA,2012.1025U,2012.1025V,2012.1025X",07/17/2014,Fee Payment,,118,0,118,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7877761,-122.3929446,"(37.7877761, -122.3929446)"
2016-013,(4) Site Work Permit Issued,1567 California,1567,California,St,94109,645,15,3,Nob Hill,Nob Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,12/14/2021,,02/23/2018,,"1567 California, LLC",,,2018-011249PRJ,2018-011249PRJ (http://propertymap.sfplanning.org/?search=2018-011249PRJ),,02/25/2016,On-site BMR Project; Fee Payment,201912099034,100,9,91,9,0,2,3,3,1,0,0,,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,2,0,0,0,0,37.7903476,-122.4200508,"(37.7903476, -122.4200508)"
2020-006,(3) Design with Entitlements Approved,542-550 Howard (Transbay Parcel F),542-550,Howard,St,94105,3721,16,6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing Program,Transbay,New Construction,Ownership,,,,,01/07/2022,03/02/2024,Farella Braun + Martell LLP,,,2016-013312PRJ,2016-013312PRJ (http://propertymap.sfplanning.org/?search=2016-013312PRJ),,01/09/2020,On-site BMR Project,201903215849,165,54,111,33,0,0,7,30,17,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,12,0,0,12,0,0,37.7878622,-122.3972438,"(37.7878622, -122.3972438)"
2019-028,(5) First Construction Document Issued,921 Howard,921,Howard,St,94103,3732,100,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,,,,,2017-000275PRJ (http://propertymap.sfplanning.org/?search=2017-000275PRJ),,,,,203,201,2,99,0,33,82,81,5,0,0,,21,2,2 1BRs,201,0,0,0,0,0,0,0,0,0,0,0,102,0,48,0,0,0,51,0,0,0,37.7807862,-122.4050921,"(37.7807862, -122.4050921)"
2011-036,(3) Design with Entitlements Approved,Parkmerced - Subsequent Phases,3711,19th,Ave,94132,,,7,Lakeshore,Lakeshore,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,12/11/2018,,Maximus,,,2008.0021,2008.0021 (http://propertymap.sfplanning.org/?search=2008.0021),"2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z",02/10/2011,On-site BMR Project; Fee Payment,,3522,176,3346,5,0,0,0,0,0,0,0,176,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,37.7205747,-122.4758473,"(37.7205747, -122.4758473)"
2023-019,(2) Predevelopment Feasibility,1130 Filbert,1130,Filbert,St,94109,94,7,3,Russian Hill,Russian Hill,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,,,,,,,  (http://propertymap.sfplanning.org/?search=),,,,,4,4,0,100,0,0,1,3,0,0,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,37.80049,-122.41817,"(37.80049, -122.41817)"
2020-032,(5) First Construction Document Issued,986 South Van Ness,986,South Van Ness,Ave,94110,3610,10,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,12/14/2020,06/11/2021,08/22/2022,,,,,2018-012918PRJ,2018-012918PRJ (http://propertymap.sfplanning.org/?search=2018-012918PRJ),,08/23/2020,On-site BMR Project,201809140274,15,2,13,13,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,37.7574164,-122.4171983,"(37.7574164, -122.4171983)"
2017-007,(3) Design with Entitlements Approved,1228 Folsom,1228,Folsom,,94103,3729,11,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,01/04/2019,,RG Architecture,,,2014.0964,2014.0964 (http://propertymap.sfplanning.org/?search=2014.0964),"2014.0964ENV,2014.0964ENX,2014.0964GEN-02,2014.0964PPA,2014.0964U,2014.0964VAR",,,201509258131,24,3,21,13,0,0,2,1,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.7747743,-122.4108446,"(37.7747743, -122.4108446)"
2021-022,(3) Design with Entitlements Approved,3832 18th St,3832,18th,St,94114,3580,18,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,10/13/2023,12/06/2025,"Reuben, Junius & Rose, LLP",,,2020-001610PRJ,2020-001610PRJ (http://propertymap.sfplanning.org/?search=2020-001610PRJ),,,,202008312955,19,3,16,16,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.7614712,-122.4292281,"(37.7614712, -122.4292281)"
2021-025,(3) Design with Entitlements Approved,770 Woolsey,770,Woolsey,St,94134,6055,1,9,Portola,Excelsior,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,11/17/2023,01/10/2026,,,"140 Partners, LLC",2017-012086PRJ,2017-012086PRJ (http://propertymap.sfplanning.org/?search=2017-012086PRJ),,11/18/2021,On-site BMR Project,202203230651,63,13,50,21,0,0,0,4,9,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,37.7237509,-122.4091631,"(37.7237509, -122.4091631)"
1988-006a,(5) First Construction Document Issued,Throughline Scattered Sites - Bayside Elderly Housing,777,Broadway,,94133,160,31,3,Chinatown,Chinatown,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,12/31/2022,08/17/2021,10/15/2022,12/31/2022,06/30/2024,Chinatown Community Development Center,,,2020-009365PRJ,2020-009365PRJ (http://propertymap.sfplanning.org/?search=2020-009365PRJ),,,,202010015613,30,30,0,100,0,30,0,0,0,0,0,,7,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,37.7972298,-122.4090525,"(37.7972298, -122.4090525)"
2017-046,(5) First Construction Document Issued,180 Jones (Land Dedication Site),,,,94102,,,5,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,05/27/2022,,,05/27/2022,01/29/2024,,,,2020-003840PRJ,2020-003840PRJ (http://propertymap.sfplanning.org/?search=2020-003840PRJ),,,,,70,69,1,99,0,70,0,0,0,0,0,,70,1,studio,0,0,0,35,0,35,0,35,0,13,0,0,0,21,0,0,0,0,0,0,0,0,37.78282592,-122.4121551,"(37.78282592, -122.4121551)"
2018-010a,(5) First Construction Document Issued,South Park Scattered Sites - Gran Oriente Filipino,106,South Park,St,94107,3775,58,6,Financial District/South Beach,South of Market,MOHCD,Multifamily Securities Program,Not in an OCII Project Area,Rehabilitation,Rental,,07/01/2020,,04/27/2020,07/01/2020,03/01/2022,Mission Housing Development Corporation,,Mission Housing Development Corporation,Not Applicable,,,,,201912189921,22,22,0,100,22,0,0,0,0,0,0,,2,0,0,22,0,0,22,0,0,0,1,10,0,9,0,0,0,0,0,0,0,0,0,0,2,37.7817346,-122.3944338,"(37.7817346, -122.3944338)"
2023-011,(3) Design with Entitlements Approved,1010V Mission,1010V,Mission,St,94103,3703,26,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,01/10/2025,,,,,2022-009297PRJ,2022-009297PRJ (http://propertymap.sfplanning.org/?search=2022-009297PRJ),,01/12/2023,On-site BMR Project; Fee Payment,,57,26,31,46,13,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,3,0,0,37.78091,-122.409447,"(37.78091, -122.409447)"
2016-091,(1) Preliminary Phase,"HPSY I, Block 48 (OCII 1)",,,,94124,4591D,"123, 133, 134, 135",10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,HP Shipyard Phase 1,New Construction,Rental,,12/31/2023,,,12/31/2023,06/23/2025,,,,Not Applicable,,,,,,18,18,0,100,0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,37.7280824,-122.3737082,"(37.7280824, -122.3737082)"
2020-013,(5) First Construction Document Issued,Kelsey Civic Center,240,Van Ness,Ave,94102,811,19,5,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,Mercy Housing CA,,,,2020-010648PRJ (http://propertymap.sfplanning.org/?search=2020-010648PRJ),,,,,112,110,2,98,0,80,0,32,0,0,0,,17,2,"Studio, 2bd",0,0,0,0,28,0,0,0,0,0,30,0,24,56,0,0,0,0,0,0,0,0,37.7780166,-122.4194284,"(37.7780166, -122.4194284)"
2016-114,(5) First Construction Document Issued,950 Market,950,Market,St,94102,342,1,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Land Dedication,,,12/14/2017,04/08/2019,04/08/2019,,,,,2013.1049,2013.1049 (http://propertymap.sfplanning.org/?search=2013.1049),,11/17/2016,Land Dedication,201602089004,242,0,242,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7831715,-122.4095903,"(37.7831715, -122.4095903)"
2018-003,(4) Site Work Permit Issued,135 Hyde,135,Hyde,St,94102,346,2,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,06/28/2019,,03/27/2020,,,,,2015-015203PRJ,2015-015203PRJ (http://propertymap.sfplanning.org/?search=2015-015203PRJ),,03/29/2018,,201611072110,69,10,59,14,0,0,9,1,0,0,0,,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,37.7823062,-122.4158888,"(37.7823062, -122.4158888)"
2016-003,(3) Design with Entitlements Approved,"HPSY II-CPS, Block 11A",83,Harney,Way,94124,5000,6,10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Rental,,,,,07/01/2023,,,,,Not Applicable,,,03/20/2018,,,176,175,1,99,0,2,45,56,68,3,1,,18,1,2bd,170,0,5,38,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,37.71119086,-122.3854628,"(37.71119086, -122.3854628)"
2011-003,(5) First Construction Document Issued,600 7th St (Land Dedication Site),600,7th,St,94103,3783,1,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,11/22/2021,,08/15/2022,,Mercy Housing CA,,,2020-009570PRJ,2020-009570PRJ (http://propertymap.sfplanning.org/?search=2020-009570PRJ),,,Exempt Project; Land Dedication,202010196871,221,220,1,100,0,100,23,83,15,0,0,,34,1,2bd,100,0,0,120,0,120,0,0,65,0,78,0,41,36,0,0,0,0,0,0,0,0,37.7726254,-122.403159,"(37.7726254, -122.403159)"
2018-052c,(5) First Construction Document Issued,SFHA Scattered Sites - Randolph,200,Randolph,St,94132,7089,49,11,Oceanview/Merced/Ingleside,Ocean View,MOHCD,Multifamily Securities Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,02/14/2022,03/01/2023,Mission Housing Development Corporation,,,2021-008229PRJ,2021-008229PRJ (http://propertymap.sfplanning.org/?search=2021-008229PRJ),,,,202103237113,16,15,1,94,0,0,0,8,6,2,0,,1,1,2 bd,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,37.7144575,-122.4648136,"(37.7144575, -122.4648136)"
2020-018,(2) Predevelopment Feasibility,Balboa Reservoir Building E,,,,,,,7,West of Twin Peaks,West of Twin Peaks,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,09/25/2023,,,09/25/2023,04/24/2026,BRIDGE Housing,,,2018-007883PHA-03,2018-007883PHA-03 (http://propertymap.sfplanning.org/?search=2018-007883PHA-03),File Number 200423,,Exempt Project,202207289451,128,126,2,98,0,0,56,40,32,0,0,,20,2,2bd,128,0,0,0,0,0,0,0,0,31,0,0,36,0,60,0,0,0,0,0,0,0,,,
2016-068,(5) First Construction Document Issued,4840 Mission,4840,Mission,St,94112,6959,19,11,Outer Mission,Outer Mission,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,06/24/2021,06/14/2021,06/14/2021,06/24/2021,01/26/2024,BRIDGE Housing,,"4840 Mission Housing Associates, L.P.",2016-012545PRJ,2016-012545PRJ (http://propertymap.sfplanning.org/?search=2016-012545PRJ),,,,201903195605,137,135,2,99,0,0,58,61,16,0,0,,7,2,2bd; 2bd,135,0,0,0,0,0,35,0,0,0,0,0,98,0,37,0,0,0,0,0,0,0,37.7205856,-122.4383634,"(37.7205856, -122.4383634)"
2016-050,(3) Design with Entitlements Approved,1200 17th (related to 901 16th),1200,17th,St,94107,3949,2,10,Mission Bay,Potrero Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,05/11/2018,,,,,2011.13,2011.1300 (http://propertymap.sfplanning.org/?search=2011.1300),,05/12/2016,Fee Payment,,135,0,135,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7656838,-122.3953565,"(37.7656838, -122.3953565)"
2019-023,(3) Design with Entitlements Approved,262 7th St,262,7th,St,94103,3730,7,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,,,,2014.0334PRJ,2014.0334PRJ (http://propertymap.sfplanning.org/?search=2014.0334PRJ),,,,,96,17,79,18,17,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,4,0,0,0,0,37.777076,-122.4085921,"(37.777076, -122.4085921)"
2016-108,(2) Predevelopment Feasibility,Transbay Block 4 (Tower),,,,94105,,,6,Financial District/South Beach,South of Market,OCII,OCII Inclusionary Rental Program,Transbay,New Construction,Rental,,09/01/2023,,,09/01/2023,09/01/2027,,,,Not Applicable,,,,,,324,105,219,32,0,12,47,34,12,0,0,,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,22,62,0,0,105,37.79000867,-122.393508,"(37.79000867, -122.393508)"
2017-020,(4) Site Work Permit Issued,1726-1730 Mission,1726,Mission,St,94103,3532,004A,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,07/31/2018,,01/29/2019,,"Reuben, Junius & Rose, LLP",,,2014-002026PRJ,2014-002026PRJ (http://propertymap.sfplanning.org/?search=2014-002026PRJ),"2014-002026ENV,2014-002026ENX,2014-002026PPA",06/01/2017,On-site BMR Project,201712196830,40,7,33,18,0,0,4,3,0,0,0,,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,37.7694534,-122.4204018,"(37.7694534, -122.4204018)"
2022-009,(3) Design with Entitlements Approved,350 Ocean,,,,,,,11,Outer Mission,Outer Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,,,,,2017-001961PRJ (http://propertymap.sfplanning.org/?search=2017-001961PRJ),,,,,35,6,29,17,0,1,2,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,,,
2021-007,(4) Site Work Permit Issued,4712-4720 3rd St,4712-4720,3rd,St,94123,5311,35,10,Bayview Hunters Point,Bayview,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,,,,2020-003042PRJ,2020-003042PRJ (http://propertymap.sfplanning.org/?search=2020-003042PRJ),,,,201406300003,21,4,17,19,0,0,2,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,37.7354419,-122.3907155,"(37.7354419, -122.3907155)"
2017-037,(5) First Construction Document Issued,Star View Court (Treasure Island C3.1),78,Johnson,St,94130,8905,3,6,Treasure Island,Treasure Island/YBI,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,05/24/2022,04/13/2021,,05/24/2022,,Mercy Housing CA,,,2007.0903PHA-02,2007.0903PHA-02 (http://propertymap.sfplanning.org/?search=2007.0903PHA-02),,03/26/2020,,201912139581,138,137,1,99,0,0,23,61,40,14,0,,21,1,0,134,0,0,66,0,0,0,0,66,0,15,0,0,30,0,23,0,0,0,0,0,0,37.82160713,-122.3731947,"(37.82160713, -122.3731947)"
2016-095,(5) First Construction Document Issued,"HPSY I, Block 56",11,Innes,Ct,94124,4591C,"084, 085, 086, 087",10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,HP Shipyard Phase 1,New Construction,Rental,,,04/26/2021,03/15/2023,06/01/2021,,,,,Not Applicable,,,,,202104269364,73,72,1,99,0,4,18,32,16,2,1,,11,1,2bd,73,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,37.7273365,-122.3683576,"(37.7273365, -122.3683576)"
2020-039a,(3) Design with Entitlements Approved,1051 3rd St (Mission Rock Parcel F),1051,3rd,St,94158,8719A,4,6,Mission Bay,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,10/25/2022,,,,,2013.0208PHA,2013.0208PHA (http://propertymap.sfplanning.org/?search=2013.0208PHA),,10/26/2020,On-site BMR Project,201910073784,258,97,161,38,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,56,0,28,0,37.7738619,-122.3896234,"(37.7738619, -122.3896234)"
2021-002,(3) Design with Entitlements Approved,1055 Texas (formerly 999 Texas St),,,,94107,4224,178,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,TM Build LLC,,,,2018-015815PRJ (http://propertymap.sfplanning.org/?search=2018-015815PRJ),,,,,25,6,19,24,0,1,1,4,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,37.7529232,-122.394631,"(37.7529232, -122.394631)"
2021-015,(4) Site Work Permit Issued,936 Geary,936,Geary,St,94109,693,9,3,Tenderloin,Downtown/Civic Center,MOHCD,Big Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,,09/01/2022,,01/08/2022,,,,,2022-008244PRL,2022-008244PRL (http://propertymap.sfplanning.org/?search=2022-008244PRL),,,,202208221011,31,31,0,100,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.786274,-122.4187205,"(37.786274, -122.4187205)"
2016-126,(3) Design with Entitlements Approved,CPN-Block 2a,,,,94124,,,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,,,,,07/01/2023,,,,,,  (http://propertymap.sfplanning.org/?search=),,03/20/2018,,,130,7,123,5,0,0,0,0,0,0,0,,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,37.7154215,-122.3856277,"(37.7154215, -122.3856277)"
